Iteration,MeasuredDistance(m),Percent(%),PercentageAbs(%)
1,4000.0781,100.00194,0.0019571153
2,4000.2234,100.00557,0.005571022
3,4000.3718,100.00931,0.009306962
4,4000.5261,100.01317,0.013157678
5,4000.6516,100.01627,0.016278535
6,4000.772,100.0193,0.019295754
7,4000.9429,100.02356,0.023564216
8,4001.095,100.02738,0.027381295
9,4001.308,100.0327,0.03270714
10,4001.4016,100.035034,0.03503534
11,4001.517,100.03794,0.03793047
12,4001.6882,100.04219,0.0421916
13,4001.86,100.04651,0.046507012
14,4001.9832,100.04958,0.049583055
15,4002.1973,100.05495,0.05493505
16,4002.2422,100.056046,0.056048967
17,4002.4758,100.0619,0.061894435
18,4002.487,100.06218,0.062179424
19,4002.7007,100.067535,0.06752732
20,4002.9148,100.07289,0.07287875
21,4003.0815,100.07704,0.07704075
22,4003.0828,100.07708,0.0770746
23,4003.2747,100.08186,0.08186403
24,4003.403,100.085075,0.085075274
25,4003.5269,100.08817,0.088166095
26,4003.748,100.093704,0.09370861
27,4003.8965,100.09741,0.09740834
28,4003.927,100.09819,0.09818162
29,4004.0715,100.10179,0.10180092
30,4004.2585,100.10646,0.10645789
31,4004.4478,100.11119,0.111193255
32,4004.483,100.112076,0.11207144
33,4004.7644,100.119095,0.11910607
34,4004.8901,100.12225,0.12225902
35,4004.7983,100.11996,0.11995904
36,4005.2234,100.13058,0.13057981
37,4005.2468,100.13117,0.13117126
38,4005.4993,100.13749,0.13748486
39,4005.603,100.14007,0.14006916
40,4005.526,100.13814,0.13814148
41,4005.845,100.14611,0.14611454
42,4005.849,100.14624,0.14623612
43,4006.179,100.154465,0.1544628
44,4006.316,100.157906,0.15790078
45,4006.7632,100.16908,0.16907336
46,4006.7312,100.16826,0.16825745
47,4006.7922,100.16981,0.16980538
48,4006.998,100.17496,0.17494592
49,4006.912,100.1728,0.17279467
50,4007.3286,100.18321,0.18322323
51,4007.0906,100.17726,0.17725915
52,4007.771,100.19426,0.19426672
53,4007.727,100.19316,0.19316481
54,4007.604,100.19011,0.19010493
55,4007.8872,100.197174,0.1971713
56,4008.3477,100.208694,0.20869303
57,4008.4019,100.21005,0.21005002
58,4008.482,100.21205,0.21204838
59,4008.444,100.211105,0.21110956
60,4008.7144,100.21786,0.21786043
61,4008.7988,100.219986,0.2199734
62,4008.9153,100.22289,0.22288859
63,4009.0078,100.225204,0.22520284
64,4009.2769,100.23192,0.23191938
65,4009.3374,100.23341,0.23342328
66,4009.2026,100.230064,0.2300673
67,4009.659,100.24148,0.24147613
68,4009.437,100.235916,0.235913
69,4010.2202,100.25551,0.2555081
70,4010.147,100.25367,0.25366998
71,4010.3247,100.25811,0.25811607
72,4010.3333,100.25832,0.2583252
73,4010.4028,100.26007,0.26007527
74,4010.6433,100.26608,0.26608413
75,4010.7559,100.26889,0.26889625
76,4011.2278,100.280685,0.2806913
77,4011.3418,100.28354,0.28355122
78,4010.839,100.27098,0.27098107
79,4011.1985,100.27997,0.2799665
80,4011.8054,100.29514,0.29514495
81,4011.5054,100.28764,0.28764763
82,4011.847,100.29617,0.29617575
83,4011.957,100.298935,0.29892936
84,4011.9746,100.29936,0.29936224
85,4011.9097,100.297745,0.2977469
86,4012.4868,100.31219,0.31217876
87,4012.6191,100.315475,0.31548324
88,4012.3872,100.30967,0.30967703
89,4012.9382,100.32345,0.3234456
90,4013.2524,100.3313,0.3312984
91,4013.0676,100.3267,0.32670087
92,4013.1528,100.32882,0.32882592
93,4013.3774,100.334435,0.3344302
94,4013.6968,100.34242,0.3424269
95,4013.6484,100.34121,0.34121782
96,4013.7075,100.34269,0.34268504
97,4013.9414,100.34855,0.34854335
98,4014.3062,100.357666,0.3576629
99,4014.161,100.35403,0.35402542
100,4014.2124,100.3553,0.35530657
101,4014.7114,100.36778,0.3677846
102,4014.778,100.369446,0.36944368
103,4015.056,100.37639,0.37639815
104,4015.1558,100.37891,0.37889874
105,4014.8093,100.370255,0.3702428
106,4015.0938,100.37734,0.3773465
107,4015.8052,100.39513,0.3951261
108,4015.6946,100.39237,0.39236793
109,4016.0747,100.40186,0.40187255
110,4015.9224,100.39806,0.39805788
111,4016.2012,100.40503,0.4050305
112,4016.4036,100.410065,0.41008124
113,4016.3267,100.408165,0.40817055
114,4016.5425,100.41356,0.41356573
115,4016.5417,100.41355,0.41354746
116,4016.713,100.417816,0.41780847
117,4016.9714,100.4243,0.42428342
118,4017.3137,100.43283,0.43283615
119,4017.1387,100.42847,0.4284602
