Iteration,MeasuredDistance(m),Percent(%),PercentageAbs(%)
3,4000.0178,100.00044,0.00044250488
6,4000.0112,100.00028,0.0002822876
9,4000.0696,100.00174,0.001739502
12,4000.0583,100.00146,0.0014572144
15,4000.0686,100.00172,0.0017166138
18,4000.49,100.01225,0.012252808
21,4000.2969,100.00742,0.007423401
24,4000.0947,100.002365,0.0023651123
27,4000.2034,100.00509,0.005088806
30,4000.7754,100.01939,0.019386292
33,4000.266,100.00665,0.006652832
36,4000.4824,100.01206,0.012062073
39,4000.485,100.01212,0.012123108
42,4000.7957,100.01989,0.019889832
45,4000.0156,100.00039,0.00038909912
48,4000.5127,100.01282,0.012817383
51,4000.1038,100.002594,0.0025939941
54,4000.0635,100.00159,0.0015869141
57,4000.776,100.0194,0.01940155
60,4001.1904,100.029755,0.029754639
63,4001.292,100.032295,0.032295227
66,4000.1858,100.00465,0.0046463013
69,4000.87,100.02175,0.021751404
72,4000.0842,100.002106,0.002105713
75,4000.5928,100.014824,0.014823914
78,4001.6392,100.04098,0.040977478
81,4000.7388,100.01847,0.018470764
84,4000.9617,100.02404,0.024040222
87,4001.3625,100.034065,0.034065247
90,4001.427,100.035675,0.03567505
93,4000.6272,100.01568,0.015678406
96,4002.3718,100.059296,0.059295654
99,4000.087,100.002174,0.0021743774
102,4001.29,100.03225,0.03224945
105,4001.268,100.0317,0.031700134
108,4000.8184,100.02046,0.020462036
111,4001.3613,100.034035,0.03403473
114,4001.3171,100.03293,0.032928467
117,4002.0803,100.05201,0.052009583
120,4001.9875,100.04969,0.049690247
123,4002.859,100.07147,0.07147217
126,4001.2324,100.030815,0.030815125
129,4000.1963,100.004906,0.0049057007
132,4003.2002,100.08001,0.08000946
135,4002.172,100.054306,0.05430603
138,4001.2883,100.03221,0.032211304
141,4002.6846,100.067116,0.06711578
144,4001.745,100.043625,0.043624878
147,4003.446,100.08615,0.08615112
150,4001.509,100.03773,0.037727356
153,4003.9856,100.09964,0.09963989
156,4004.2422,100.10606,0.10605621
159,4002.9622,100.07405,0.0740509
162,4003.9163,100.09791,0.09790802
165,4000.6443,100.016106,0.016105652
168,4002.0845,100.05211,0.052108765
171,4000.2979,100.00745,0.007446289
174,4000.6697,100.01674,0.016738892
177,4003.1,100.0775,0.07749939
180,4000.9792,100.02448,0.024482727
183,4004.4517,100.11129,0.11128998
186,4004.2024,100.105064,0.10506439
