Iteration,MeasuredDistance(m),Percent(%),PercentageAbs(%)
1,4000.0085,100.00022,0.00065444945
2,4000.0303,100.00072,0.0012687454
3,4000.0632,100.0015,0.0019673768
4,4000.0935,100.00229,0.002643814
5,4000.1267,100.003136,0.0033820726
6,4000.1453,100.003685,0.003888916
7,4000.1758,100.00436,0.004520584
8,4000.2024,100.00497,0.0051687774
9,4000.2283,100.00569,0.005819641
10,4000.2634,100.00651,0.0066297683
11,4000.2808,100.00701,0.0070959246
12,4000.314,100.00777,0.007875618
13,4000.3418,100.008415,0.008542961
14,4000.3599,100.00903,0.009119591
15,4000.3904,100.0097,0.009806511
16,4000.4102,100.01032,0.010331917
17,4000.4395,100.010925,0.011008179
18,4000.4558,100.01142,0.011459595
19,4000.4873,100.01213,0.012183075
20,4000.5103,100.01263,0.012713234
21,4000.545,100.013626,0.013670281
22,4000.5493,100.01378,0.013827164
23,4000.6003,100.01499,0.015059158
24,4000.6064,100.01508,0.015170556
25,4000.6538,100.01638,0.01643103
26,4000.6738,100.01683,0.016856316
27,4000.698,100.01751,0.017492974
28,4000.723,100.01809,0.018095085
29,4000.727,100.01818,0.018198188
30,4000.7988,100.019936,0.020012131
31,4000.7886,100.01968,0.019744698
32,4000.845,100.02108,0.021159248
33,4000.861,100.02146,0.021475257
34,4000.8718,100.02187,0.021825623
35,4000.88,100.02192,0.021963563
36,4000.969,100.024086,0.024169976
37,4000.9417,100.02346,0.023566956
38,4000.9463,100.02376,0.023713768
39,4000.991,100.024704,0.024783058
40,4001.0273,100.02574,0.025712937
41,4001.0513,100.02618,0.02620218
42,4001.078,100.02698,0.026985832
43,4001.092,100.02731,0.02732534
44,4001.1606,100.02899,0.029060272
45,4001.165,100.028984,0.029082688
46,4001.2114,100.030205,0.030292321
47,4001.2063,100.03019,0.030164253
48,4001.2612,100.03161,0.031606447
49,4001.2576,100.031425,0.031451188
50,4001.2922,100.03223,0.032287948
51,4001.3591,100.03389,0.033951353
52,4001.378,100.034424,0.034477767
53,4001.4045,100.03516,0.03510324
54,4001.422,100.0356,0.03560607
55,4001.4185,100.03544,0.03548542
56,4001.4434,100.036156,0.036121238
57,4001.4382,100.03596,0.03593891
58,4001.5488,100.038734,0.038682085
59,4001.5593,100.03907,0.038982477
60,4001.5447,100.03856,0.038566392
61,4001.6099,100.04026,0.040229607
62,4001.5984,100.04005,0.04005535
63,4001.6492,100.041214,0.04123374
64,4001.6274,100.040764,0.040764894
65,4001.724,100.04301,0.043064024
66,4001.6924,100.04237,0.04237547
67,4001.7454,100.04345,0.043544907
68,4001.7283,100.04316,0.043189827
69,4001.8162,100.04533,0.045397263
70,4001.8313,100.04567,0.045734186
71,4001.8716,100.046875,0.046800636
72,4001.8318,100.0457,0.04570314
73,4001.8535,100.04634,0.046349067
74,4001.8286,100.04563,0.045727607
75,4001.9512,100.04883,0.04880274
76,4001.971,100.04927,0.049321268
77,4001.9749,100.04939,0.04937214
78,4002.0505,100.051285,0.051258866
79,4002.05,100.051346,0.051292993
80,4002.0125,100.05031,0.050352454
81,4002.1125,100.052864,0.052846674
82,4002.1038,100.052635,0.052590836
83,4002.2048,100.05509,0.05506991
84,4002.231,100.0559,0.055877417
85,4002.251,100.05617,0.056220908
86,4002.216,100.055305,0.055396933
87,4002.2722,100.05677,0.05679967
88,4002.326,100.05823,0.058181778
89,4002.2795,100.05693,0.056962304
90,4002.3413,100.058556,0.058551017
91,4002.3333,100.058304,0.058248755
92,4002.43,100.06075,0.06074612
93,4002.4084,100.06021,0.060213156
94,4002.4397,100.06098,0.061010484
95,4002.378,100.05936,0.059416313
96,4002.5222,100.06305,0.06307958
97,4002.4966,100.0623,0.06232491
98,4002.5186,100.06301,0.06298864
99,4002.4194,100.06045,0.060461678
100,4002.5479,100.06367,0.063680254
101,4002.6626,100.066734,0.06668507
102,4002.6162,100.0655,0.06541345
103,4002.6733,100.06688,0.06684403
104,4002.6587,100.06644,0.066444196
105,4002.6487,100.066185,0.06619618
106,4002.735,100.06844,0.06838492
107,4002.8093,100.070076,0.07017402
108,4002.7446,100.068665,0.068650395
109,4002.8796,100.07216,0.07209273
110,4002.8335,100.07087,0.0708379
111,4002.922,100.073,0.0730477
112,4002.951,100.07394,0.07385778
113,4003.0505,100.07627,0.0762418
114,4002.8838,100.07208,0.07212245
115,4003.031,100.07577,0.07574501
116,4003.1025,100.07751,0.07756645
117,4003.0598,100.07646,0.07650621
118,4003.0771,100.076996,0.076971106
119,4003.047,100.07615,0.07612675
120,4003.0417,100.07615,0.07612198
121,4003.1707,100.07933,0.079374574
122,4003.1418,100.0786,0.07859921
123,4003.1392,100.07841,0.07836833
124,4003.2139,100.08031,0.08031482
125,4003.2827,100.0821,0.082045
126,4003.2244,100.08066,0.08062205
127,4003.4165,100.085396,0.08545139
128,4003.3477,100.08379,0.08375291
129,4003.237,100.08093,0.08091052
130,4003.3936,100.08481,0.08475215
131,4003.4238,100.0856,0.085563645
132,4003.3726,100.08433,0.08436772
133,4003.355,100.08385,0.083827704
134,4003.5723,100.0893,0.08934705
135,4003.5046,100.087456,0.087507755
136,4003.5286,100.08814,0.08819765
137,4003.6003,100.09007,0.090052135
138,4003.6135,100.0902,0.090285204
139,4003.6504,100.09136,0.091269664
140,4003.6897,100.09221,0.09222103
141,4003.4998,100.08754,0.08758806
142,4003.563,100.0891,0.0891258
143,4003.5938,100.089836,0.08987299
144,4003.8533,100.09639,0.096356995
145,4003.732,100.093185,0.093229756
146,4003.7654,100.094086,0.094194084
147,4003.7764,100.09435,0.0943891
148,4003.6726,100.09168,0.09174665
149,4003.8728,100.0968,0.09679624
150,4003.7686,100.094124,0.09419472
151,4003.9268,100.09821,0.09821344
152,4004.019,100.100464,0.10049334
153,4004.046,100.101204,0.10118153
154,4003.9858,100.0998,0.0997556
155,4003.9724,100.09924,0.099273056
156,4004.0906,100.10236,0.10230667
157,4004.1775,100.10447,0.10448579
158,4003.999,100.10003,0.099986985
159,4003.9688,100.09927,0.0992613
160,4004.264,100.1066,0.1066132
161,4004.1135,100.10277,0.10281529
162,4004.2786,100.106865,0.10689263
163,4004.2615,100.10648,0.1065073
164,4004.1602,100.10392,0.10396765
165,4004.2087,100.10528,0.105237395
166,4004.2078,100.105194,0.10521372
167,4004.3545,100.108795,0.10888642
168,4004.2417,100.106125,0.10602858
169,4004.3782,100.10944,0.10943259
170,4004.3757,100.10939,0.10930709
171,4004.4075,100.11014,0.110160835
172,4004.7441,100.11862,0.11858594
173,4004.3088,100.10773,0.10773673
174,4004.501,100.11258,0.112557665
175,4004.5315,100.11332,0.11330898
176,4004.534,100.113365,0.11341437
177,4004.7427,100.11861,0.11860503
178,4004.6372,100.11593,0.11594044
179,4004.6472,100.116165,0.116189584
180,4004.6118,100.11525,0.11532698
181,4004.6848,100.117256,0.11716066
182,4004.7676,100.11913,0.11921788
183,4004.6072,100.11517,0.115169995
184,4004.5413,100.11353,0.113577865
185,4004.9358,100.123405,0.123380415
186,4004.8494,100.12125,0.12124616
187,4004.8528,100.12131,0.12137244
188,4004.9224,100.12308,0.12308707
189,4004.8977,100.12241,0.12236469
190,4004.9587,100.123955,0.12397493
191,4005.0427,100.12605,0.1260938
192,4004.8484,100.121216,0.12124273
193,4005.0002,100.125046,0.12500218
194,4005.096,100.12733,0.12740403
195,4004.9497,100.1237,0.12371917
196,4005.0386,100.12591,0.12595154
197,4005.363,100.13414,0.13415198
198,4005.254,100.13126,0.13129056
199,4005.245,100.131096,0.13106896
200,4005.3086,100.13264,0.13262571
201,4005.1685,100.129135,0.12919779
202,4005.2395,100.13096,0.13099876
203,4005.2385,100.130875,0.13094762
204,4005.193,100.129814,0.12979805
205,4005.3948,100.13495,0.13487056
206,4005.372,100.134346,0.13438968
207,4005.3462,100.13361,0.13371125
208,4005.3364,100.13346,0.1334222
209,4005.4336,100.13591,0.13591336
210,4005.4966,100.137405,0.13739963
211,4005.4805,100.137024,0.137013
212,4005.4717,100.136734,0.1367748
213,4005.6208,100.14048,0.14052497
214,4005.5205,100.13801,0.13798665
215,4005.6086,100.140274,0.14031507
216,4005.6736,100.1418,0.14182168
217,4005.6924,100.14226,0.14230539
218,4005.539,100.13837,0.13842206
219,4005.6458,100.14109,0.14113104
220,4005.681,100.14202,0.14204937
221,4005.437,100.13588,0.13590375
222,4005.6128,100.1403,0.14029959
223,4005.7483,100.14371,0.14364
224,4005.7163,100.14294,0.14293924
225,4005.7363,100.14333,0.14333858
226,4005.8936,100.14742,0.14743182
227,4006.0325,100.150826,0.15074414
228,4006.0498,100.15118,0.15116516
229,4005.9517,100.14877,0.14879763
230,4006.151,100.15377,0.15376809
231,4005.9539,100.14889,0.14888382
232,4006.096,100.15236,0.15240143
233,4005.917,100.14794,0.14788513
234,4006.0247,100.15054,0.15059924
235,4006.1226,100.15295,0.15300009
236,4006.076,100.1518,0.1518551
237,4006.2913,100.15731,0.15728085
238,4006.2778,100.15699,0.15692843
239,4006.096,100.15237,0.15244898
240,4006.2505,100.1562,0.15623954
241,4006.2512,100.15634,0.15635605
242,4006.1145,100.15293,0.15289494
243,4006.261,100.15649,0.1564512
244,4006.2432,100.15603,0.15599926
245,4006.2717,100.15686,0.15684718
246,4006.3474,100.15855,0.15864441
247,4006.0815,100.15199,0.15198852
248,4006.589,100.164764,0.16475034
249,4006.4583,100.16147,0.16145776
250,4006.6306,100.16584,0.16582757
251,4006.3425,100.15854,0.15858658
252,4006.5803,100.16441,0.16445923
253,4006.5652,100.16424,0.16416357
254,4006.3608,100.15907,0.15907678
255,4006.4817,100.16201,0.16202049
256,4006.5762,100.1645,0.16444914
257,4006.635,100.16596,0.1659345
258,4006.9458,100.17356,0.1736088
